	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	GRÜNE	FPÖ	BZÖ	RETTÖ	LIF	KPÖ	DC	LINKE	FRITZ
171	40900	Bezirk Kirchdorf an der Krems        	42919	35289	922	34367	9952	10297	2997	6092	3377	297	418	205	363	10	359
172	40901	Edlbach                       	525	405	8	397	91	159	21	42	68	2	4	3	3	0	4
173	40902	Grünburg                      	2879	2234	59	2175	730	542	131	441	236	18	21	6	34	1	15
174	40903	Hinterstoder                  	789	557	7	550	122	181	43	113	61	6	11	0	3	0	10
175	40904	Inzersdorf im Kremstal        	1441	1155	40	1115	281	375	118	196	104	8	10	8	5	0	10
176	40905	Kirchdorf an der Krems        	3091	2346	60	2286	785	501	284	369	234	19	39	16	21	0	18
177	40906	Klaus an der Pyhrnbahn        	879	686	16	670	324	120	36	106	58	3	4	4	10	0	5
178	40907	Kremsmünster                  	4734	3557	106	3451	834	1154	271	618	385	33	64	27	18	0	47
179	40908	Micheldorf in Oberösterreich  	4550	3620	102	3518	1326	687	342	619	330	38	67	28	43	4	34
180	40909	Molln                         	2813	2201	44	2157	757	536	183	374	179	28	22	8	36	0	34
181	40910	Nußbach                       	1806	1457	48	1409	304	596	82	214	140	6	18	13	18	0	18
182	40911	Oberschlierbach               	373	278	3	275	75	117	35	22	8	3	2	1	10	0	2
183	40912	Pettenbach                    	3734	2895	88	2807	693	786	261	633	311	28	24	23	13	1	34
184	40913	Ried im Traunkreis            	2026	1561	42	1519	298	575	104	318	166	9	11	11	15	1	11
185	40914	Rosenau am Hengstpaß          	569	437	6	431	193	105	12	61	38	2	2	6	7	0	5
186	40915	Roßleithen                    	1473	1139	26	1113	385	355	69	176	85	9	9	3	15	0	7
187	40916	St.Pankraz                    	259	211	5	206	71	28	1	83	20	1	1	1	0	0	0
188	40917	Schlierbach                   	2122	1660	40	1620	372	501	232	256	170	14	15	8	30	0	22
189	40918	Spital am Pyhrn               	1739	1271	35	1236	442	352	53	244	105	6	11	6	11	0	6
190	40919	Steinbach am Ziehberg         	661	520	15	505	108	192	37	112	33	1	8	4	3	0	7
191	40920	Steinbach an der Steyr        	1586	1332	27	1305	328	473	70	239	148	9	5	4	15	1	13
192	40921	Vorderstoder                  	650	470	16	454	94	169	22	91	52	11	0	4	5	0	6
193	40922	Wartberg an der Krems         	2276	1776	50	1726	358	731	140	298	139	15	16	5	10	0	14
194	40923	Windischgarsten               	1944	1439	43	1396	489	391	111	203	147	5	15	7	12	1	15
195	40999	Wahlkarten Kirchdorf an der Krems        	0	2082	36	2046	492	671	339	264	160	23	39	9	26	1	22
196	41000	Bezirk Linz-Land                     	103473	85004	1793	83211	30480	17042	8473	16024	7375	800	1230	461	575	34	717
197	41001	Allhaming                     	810	674	16	658	208	247	45	88	46	1	8	2	8	0	5
198	41002	Ansfelden                     	11181	8541	178	8363	3483	1096	625	1975	827	103	118	39	34	9	54
199	41003	Asten                         	4689	3519	73	3446	1431	410	229	895	349	29	36	20	17	0	30
200	41004	Eggendorf im Traunkreis       	596	496	3	493	150	156	21	82	59	10	7	3	3	0	2
201	41005	Enns                          	8144	6108	104	6004	2268	1194	635	1140	516	68	79	38	12	3	51
202	41006	Hargelsberg                   	958	786	20	766	227	248	59	139	55	11	5	8	4	0	10
203	41007	Hörsching                     	4472	3418	90	3328	1102	576	335	807	342	49	36	21	19	0	41
204	41008	Hofkirchen im Traunkreis      	1260	925	17	908	260	248	116	173	81	6	8	1	4	0	11
205	41009	Kematen an der Krems          	1820	1481	40	1441	421	461	104	228	156	13	12	5	28	0	13
206	41010	Kirchberg-Thening             	1905	1484	28	1456	569	262	178	257	119	7	32	9	7	0	16
207	41011	Kronstorf                     	2464	1981	46	1935	740	388	140	399	185	12	21	7	9	0	34
208	41012	Leonding                      	18657	13940	287	13653	4916	2823	1714	2279	1263	128	260	80	72	10	108
209	41013	St.Florian                    	4687	3714	108	3606	1079	1098	405	583	306	32	44	12	22	1	24
210	41014	Neuhofen an der Krems         	4444	3359	84	3275	1031	799	425	568	284	32	39	28	43	0	26
211	41015	Niederneukirchen              	1525	1263	23	1240	366	455	100	185	93	9	16	3	7	0	6
212	41016	Oftering                      	1540	1232	27	1205	440	281	108	227	100	10	17	7	6	0	9
213	41017	Pasching                      	5037	3846	79	3767	1493	624	397	735	348	26	71	21	12	0	40
214	41018	Piberbach                     	1439	1164	18	1146	419	274	90	210	87	8	16	5	29	1	7
215	41019	Pucking                       	2919	2301	61	2240	765	432	170	528	230	31	25	17	16	1	25
216	41020	St.Marien                     	3574	2917	74	2843	962	756	228	511	222	29	38	15	58	1	23
217	41021	Traun                         	16943	12401	237	12164	5299	1682	950	2675	1043	105	143	78	90	2	97
218	41022	Wilhering                     	4409	3531	83	3448	1014	997	510	488	279	25	66	17	26	2	24
219	41099	Wahlkarten Linz-Land                     	0	5923	97	5826	1837	1535	889	852	385	56	133	25	49	4	61
220	41100	Bezirk Perg                          	51216	44150	1341	42809	14779	12627	3200	7291	3271	340	359	196	367	19	360
221	41101	Allerheiligen im Mühlkreis    	933	796	23	773	224	272	42	146	61	4	4	4	8	0	8
222	41102	Arbing                        	1117	931	28	903	241	319	87	138	82	13	6	3	1	0	13
223	41103	Baumgartenberg                	1254	1039	19	1020	224	384	56	234	84	7	7	4	6	0	14
224	41104	Dimbach                       	840	726	24	702	201	297	29	91	55	2	1	3	11	1	11
225	41105	Grein                         	2460	1988	60	1928	661	520	130	368	172	9	15	7	23	1	22
226	41106	Katsdorf                      	2204	1814	46	1768	648	459	187	261	133	16	27	12	5	2	18
227	41107	Klam                          	675	561	27	534	123	172	28	125	61	5	2	2	5	0	11
228	41108	Bad Kreuzen                   	1761	1460	61	1399	167	717	69	278	116	9	8	4	17	1	13
229	41109	Langenstein                   	2036	1641	34	1607	781	241	111	317	96	18	11	11	10	0	11
230	41110	Luftenberg an der Donau       	3087	2448	47	2401	1064	381	189	467	210	20	31	10	8	2	19
231	41111	Mauthausen                    	3697	2887	84	2803	1350	515	206	458	191	18	25	13	4	3	20
232	41112	Mitterkirchen im Machland     	1372	1154	42	1112	353	430	72	157	72	9	4	2	8	0	5
233	41113	Münzbach                      	1316	1086	53	1033	199	465	39	202	88	8	1	5	17	0	9
234	41114	Naarn im Machlande            	2691	2282	72	2210	749	746	109	384	156	23	14	4	15	0	10
235	41115	Pabneukirchen                 	1362	1106	39	1067	227	476	52	172	102	10	6	3	7	0	12
236	41116	Perg                          	5777	4486	145	4341	1459	1197	393	769	365	47	33	21	32	2	23
237	41117	Rechberg                      	716	611	15	596	97	345	33	49	35	2	0	1	26	1	7
238	41118	Ried in der Riedmark          	3217	2645	67	2578	1063	701	198	364	160	16	29	14	13	0	20
239	41119	St.Georgen am Walde           	1701	1374	69	1305	445	437	61	203	117	3	2	0	26	0	11
240	41120	St.Georgen an der Gusen       	2949	2415	59	2356	1072	442	241	346	152	29	27	15	14	1	17
241	41121	St.Nikola an der Donau        	609	507	10	497	156	203	29	65	32	2	3	4	2	0	1
242	41122	St.Thomas am Blasenstein      	682	573	37	536	91	279	22	73	41	8	0	1	20	0	1
243	41123	Saxen                         	1355	1186	40	1146	311	326	68	312	98	5	5	1	7	0	13
244	41124	Schwertberg                   	4026	3237	83	3154	1384	605	283	582	202	18	29	22	8	2	19
245	41125	Waldhausen im Strudengau      	2306	1957	63	1894	591	646	103	338	154	4	6	7	25	1	19
246	41126	Windhaag bei Perg             	1073	903	38	865	160	376	58	114	97	14	8	10	20	0	8
247	41199	Wahlkarten Perg                          	0	2337	56	2281	738	676	305	278	139	21	55	13	29	2	25
248	41200	Bezirk Ried im Innkreis              	45769	36637	1185	35452	7624	11565	2921	8767	3014	343	319	182	326	13	378
249	41201	Andrichsfurt                  	571	404	18	386	34	162	31	109	28	2	6	3	3	1	7
250	41202	Antiesenhofen                 	825	606	12	594	158	160	43	109	105	2	5	6	0	0	6
251	41203	Aurolzmünster                 	2319	1657	65	1592	396	354	81	492	186	34	12	12	9	1	15
252	41204	Eberschwang                   	2667	2075	89	1986	589	483	143	515	173	21	11	13	17	1	20
253	41205	Eitzing                       	587	459	12	447	106	144	31	115	25	4	1	5	3	0	13
254	41206	Geiersberg                    	441	327	12	315	70	105	29	73	22	3	0	0	10	1	2
255	41207	Geinberg                      	1045	788	27	761	148	219	49	245	59	7	5	8	12	0	9
256	41208	Gurten                        	896	689	23	666	124	264	50	134	77	3	3	1	3	0	7
257	41209	Hohenzell                     	1596	1224	48	1176	178	471	113	230	91	7	14	7	42	1	22
258	41210	Kirchdorf am Inn              	469	387	7	380	74	177	17	73	27	4	1	1	1	0	5
259	41211	Kirchheim im Innkreis         	548	447	21	426	65	172	27	112	28	4	2	5	6	1	4
260	41212	Lambrechten                   	1028	800	24	776	116	328	37	227	42	4	2	4	5	0	11
261	41213	Lohnsburg am Kobernaußerwald  	1831	1319	33	1286	219	487	61	352	103	20	5	6	23	0	10
262	41214	Mehrnbach                     	1871	1408	44	1364	263	382	96	471	88	14	12	3	18	0	17
263	41215	Mettmach                      	2028	1480	69	1411	353	390	52	391	165	20	7	7	15	2	9
264	41216	Mörschwang                    	237	185	9	176	17	93	12	31	16	0	1	1	0	0	5
265	41217	Mühlheim am Inn               	507	393	14	379	116	105	25	69	35	6	9	1	6	0	7
266	41218	Neuhofen im Innkreis          	1731	1285	42	1243	298	412	113	270	93	7	12	2	21	0	15
267	41219	Obernberg am Inn              	1210	798	14	784	201	200	50	216	95	6	3	1	1	0	11
268	41220	Ort im Innkreis               	916	690	20	670	112	212	33	211	80	10	3	1	4	0	4
269	41221	Pattigham                     	700	548	19	529	73	215	36	145	43	3	1	1	8	0	4
270	41222	Peterskirchen                 	571	433	14	419	31	227	28	90	29	1	1	0	8	0	4
271	41223	Pramet                        	804	624	17	607	130	191	38	176	47	7	6	7	0	0	5
272	41224	Reichersberg                  	1077	803	36	767	167	280	58	181	58	4	5	1	3	1	9
273	41225	Ried im Innkreis              	8551	6027	150	5877	1504	1467	700	1455	488	51	84	41	40	2	45
274	41226	St.Georgen b. Obernberg am Inn	476	372	16	356	39	193	46	49	21	1	3	2	1	0	1
275	41227	St.Marienkirchen am Hausruck  	626	481	11	470	51	194	32	145	21	4	1	2	16	0	4
276	41228	St.Martin im Innkreis         	1273	896	25	871	217	216	77	244	84	9	9	3	0	0	12
277	41229	Schildorn                     	852	673	18	655	179	237	27	139	48	6	3	4	2	0	10
278	41230	Senftenbach                   	575	472	26	446	84	181	27	108	31	2	7	2	0	0	4
279	41231	Taiskirchen im Innkreis       	1930	1510	56	1454	281	628	112	282	102	14	5	8	8	1	13
280	41232	Tumeltsham                    	1193	920	31	889	126	281	107	258	73	2	15	2	9	0	16
281	41233	Utzenaich                     	1182	905	28	877	183	322	56	193	87	9	5	6	4	1	11
282	41234	Waldzell                      	1703	1279	51	1228	353	417	78	243	96	13	5	5	6	0	12
283	41235	Weilbach                      	486	370	14	356	42	165	25	79	39	3	1	2	0	0	0
284	41236	Wippenham                     	447	375	17	358	91	137	21	80	21	3	0	0	0	0	5
