	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	PIRAT	KPÖ	CPÖ	WANDL
37	40415	Höhnhart                      	1143	782	19	763	156	277	230	17	32	26	11	4	4	6	0
38	40416	Jeging	510	370	9	361	96	109	94	12	13	17	10	5	3	2	0
39	40417	Kirchberg bei Mattighofen     	913	623	17	606	82	223	152	27	68	22	25	2	2	3	0
40	40418	Lengau                        	3489	2399	83	2316	742	480	591	67	256	105	49	11	9	1	5
41	40419	Lochen                        	2025	1449	52	1397	205	507	360	56	122	78	46	7	8	5	3
42	40420	Maria Schmolln                	1143	789	29	760	131	335	179	24	50	20	16	0	2	2	1
43	40421	Mattighofen                   	3734	2294	58	2236	775	331	593	88	214	123	64	21	15	7	5
44	40422	Mauerkirchen                  	1629	940	23	917	240	229	259	37	60	57	17	4	5	9	0
45	40423	Mining                        	933	660	23	637	131	219	136	27	61	28	25	6	0	4	0
46	40424	Moosbach                      	757	537	9	528	68	168	191	18	34	30	12	4	2	1	0
47	40425	Moosdorf                      	1233	819	21	798	248	206	162	23	92	24	24	11	6	1	1
48	40426	Munderfing                    	2212	1475	56	1419	381	449	282	65	112	67	44	8	5	5	1
49	40427	Neukirchen an der Enknach     	1735	1186	33	1153	256	373	316	44	76	54	17	5	5	7	0
50	40428	Ostermiething                 	2389	1454	69	1385	268	433	333	55	148	85	37	11	5	4	6
51	40429	Palting                       	760	531	21	510	83	194	111	19	51	36	10	3	1	1	1
52	40430	Perwang am Grabensee          	719	497	17	480	81	163	106	18	64	26	15	3	3	0	1
53	40431	Pfaffstätt                    	746	503	20	483	117	153	115	16	43	25	7	5	2	0	0
54	40432	Pischelsdorf am Engelbach     	1302	931	21	910	142	362	265	17	55	49	10	3	5	1	1
55	40433	Polling im Innkreis           	771	553	11	542	91	196	176	17	21	29	7	1	3	0	1
56	40434	Roßbach                       	773	556	15	541	116	190	149	14	26	25	12	5	3	1	0
57	40435	St.Georgen am Fillmannsbach   	321	221	1	220	25	66	94	7	7	13	0	1	1	5	1
58	40436	St.Johann am Walde            	1667	1148	39	1109	345	318	275	32	67	42	21	2	5	2	0
59	40437	St.Pantaleon                  	2345	1535	39	1496	421	328	405	41	143	98	29	11	15	3	2
60	40438	St.Peter am Hart              	1846	1239	40	1199	300	316	272	58	135	71	29	7	9	2	0
61	40439	St.Radegund                   	471	349	9	340	30	192	41	7	46	11	7	3	3	0	0
62	40440	St.Veit im Innkreis           	327	246	7	239	63	80	61	4	13	12	1	2	0	3	0
63	40441	Schalchen                     	2833	1869	44	1825	523	402	499	70	175	96	37	11	8	3	1
64	40442	Schwand im Innkreis           	709	505	12	493	63	219	107	21	42	22	11	3	2	0	3
65	40443	Tarsdorf                      	1615	1074	37	1037	149	389	280	33	101	46	18	6	4	11	0
66	40444	Treubach                      	581	387	10	377	35	169	116	15	17	14	8	3	0	0	0
67	40445	Überackern                    	441	261	8	253	62	95	55	5	16	14	2	0	2	1	1
68	40446	Weng im Innkreis              	1139	798	25	773	142	274	242	26	37	25	24	2	1	0	0
69	40499	Wahlkarten Braunau am Inn                	0	5346	118	5228	1432	1259	924	187	827	285	186	53	41	19	15
70	40500	Bezirk Eferding                      	25480	20783	511	20272	5378	5380	4711	681	2320	931	527	142	113	58	31
71	40501	Alkoven                       	4391	3324	85	3239	1107	628	713	109	378	157	91	23	18	9	6
72	40502	Aschach an der Donau          	1654	1264	32	1232	352	252	306	43	173	52	34	7	10	1	2
73	40503	Eferding                      	2868	2016	44	1972	597	462	429	59	234	70	74	18	21	6	2
74	40504	Fraham                        	1834	1386	33	1353	431	278	324	52	136	71	41	10	7	3	0
75	40505	Haibach ob der Donau          	1091	808	25	783	189	299	123	23	91	35	12	5	4	1	1
76	40506	Hartkirchen                   	3378	2527	48	2479	549	702	664	96	258	117	58	18	11	2	4
77	40507	Hinzenbach                    	1566	1218	26	1192	324	334	302	33	110	55	23	7	3	0	1
78	40508	Prambachkirchen               	2259	1717	48	1669	339	561	425	52	143	89	35	9	9	6	1
79	40509	Pupping                       	1578	1080	17	1063	258	311	270	26	125	41	19	4	3	4	2
80	40510	St.Marienkirchen an d. Polsenz	1834	1420	48	1372	344	404	330	49	136	48	30	11	12	5	3
81	40511	Scharten                      	1714	1360	26	1334	332	297	348	56	181	54	35	9	4	14	4
82	40512	Stroheim                      	1313	999	42	957	141	365	228	42	76	63	29	4	4	2	3
83	40599	Wahlkarten Eferding                      	0	1664	37	1627	415	487	249	41	279	79	46	17	7	5	2
84	40600	Bezirk Freistadt                     	52884	44085	1356	42729	11231	14047	7656	1553	4668	1672	984	378	322	141	77
85	40601	Freistadt                     	5893	4269	92	4177	1184	1093	787	185	551	178	90	52	47	9	1
86	40602	Grünbach                      	1523	1111	36	1075	234	325	259	55	95	54	28	11	8	2	4
87	40603	Gutau                         	2200	1677	50	1627	479	556	261	81	139	48	29	10	16	4	4
88	40604	Hagenberg im Mühlkreis        	2211	1596	32	1564	439	367	327	55	223	68	44	25	11	2	3
89	40605	Hirschbach im Mühlkreis       	951	743	34	709	137	307	93	28	87	22	16	7	6	4	2
90	40606	Kaltenberg                    	502	409	9	400	29	237	82	10	17	16	5	2	0	2	0
91	40607	Kefermarkt                    	1653	1238	42	1196	366	353	212	57	109	49	33	8	6	2	1
92	40608	Königswiesen                  	2569	1966	86	1880	413	775	403	42	134	56	27	5	11	12	2
93	40609	Lasberg                       	2271	1716	44	1672	347	621	250	66	245	62	36	18	16	7	4
94	40610	Leopoldschlag                 	851	660	38	622	112	290	99	24	44	29	16	6	0	1	1
95	40611	Liebenau                      	1409	1044	32	1012	269	426	171	26	38	39	17	8	10	7	1
96	40612	Neumarkt im Mühlkreis         	2538	1934	70	1864	494	579	293	70	265	72	62	9	13	4	3
97	40613	Pierbach                      	796	616	21	595	122	240	139	16	32	24	11	1	2	7	1
98	40614	Pregarten                     	4142	3160	97	3063	962	783	577	116	321	144	86	28	26	13	7
99	40615	Rainbach im Mühlkreis         	2324	1692	64	1628	411	680	236	60	129	51	27	20	6	7	1
100	40616	Sandl                         	1182	923	32	891	316	253	136	30	70	38	19	6	14	7	2
101	40617	St.Leonhard bei Freistadt     	1154	931	36	895	235	351	161	18	47	43	19	6	8	6	1
102	40618	St.Oswald bei Freistadt       	2232	1702	41	1661	529	506	342	64	103	57	28	15	11	5	1
103	40619	Schönau im Mühlkreis          	1573	1273	41	1232	257	506	239	37	83	62	23	11	6	4	4
104	40620	Tragwein                      	2474	1966	58	1908	622	620	283	59	178	59	53	16	10	6	2
105	40621	Unterweißenbach               	1893	1399	58	1341	282	541	355	23	68	42	15	5	4	4	2
106	40622	Unterweitersdorf              	1643	1311	38	1273	416	286	246	52	173	37	36	8	12	4	3
107	40623	Waldburg                      	1078	843	17	826	207	293	133	28	99	34	14	8	5	4	1
108	40624	Wartberg ob der Aist          	3402	2557	76	2481	805	521	484	120	325	106	74	18	18	3	7
109	40625	Weitersfelden                 	862	673	20	653	155	280	104	25	48	16	20	3	1	0	1
110	40626	Windhaag bei Freistadt        	1295	1001	37	964	214	424	169	33	59	38	13	4	8	1	1
111	40627	Bad Zell                      	2263	1809	56	1753	317	677	326	71	227	69	27	14	14	7	4
112	40699	Wahlkarten Freistadt                     	0	3866	99	3767	878	1157	489	102	759	159	116	54	33	7	13
113	40700	Bezirk Gmunden                       	78662	61343	1680	59663	18211	12895	11598	2392	7684	3071	2351	479	579	277	126
114	40701	Altmünster                    	7754	5371	166	5205	1343	1226	1030	216	765	277	222	35	42	33	16
115	40702	Bad Goisern                   	6089	4274	126	4148	1736	512	848	174	384	229	115	31	62	44	13
116	40703	Bad Ischl                     	10792	7138	192	6946	2177	1257	1387	313	917	373	321	63	100	18	20
117	40704	Ebensee                       	6453	4449	118	4331	1909	674	729	148	448	193	137	30	46	11	6
118	40705	Gmunden                       	10132	6262	128	6134	1409	1446	1118	317	1001	338	380	48	40	21	16
119	40706	Gosau                         	1467	1054	39	1015	455	205	151	50	62	44	32	4	7	5	0
120	40707	Grünau im Almtal              	1623	1183	36	1147	355	295	240	41	98	63	29	11	10	1	4
121	40708	Gschwandt                     	2122	1618	52	1566	378	430	365	55	188	59	57	10	12	7	5
122	40709	Hallstatt                     	640	475	11	464	199	70	58	11	71	18	11	6	17	2	1
123	40710	Kirchham                      	1593	1185	37	1148	160	487	228	46	106	72	27	9	6	7	0
124	40711	Laakirchen                    	7122	5036	122	4914	1829	927	1029	173	497	219	135	43	38	18	6
125	40712	Obertraun                     	588	441	19	422	209	59	53	19	42	18	2	0	18	1	1
126	40713	Ohlsdorf                      	3943	2792	85	2707	769	587	642	98	309	152	98	19	18	14	1
127	40714	Pinsdorf                      	2940	2072	54	2018	643	323	510	86	249	101	71	16	13	5	1
128	40715	Roitham                       	1620	1154	29	1125	323	288	275	45	97	46	29	6	8	7	1
129	40716	St.Konrad                     	879	616	21	595	134	229	100	31	59	17	11	3	6	5	0
130	40717	St.Wolfgang im Salzkammergut  	2159	1449	54	1395	376	413	269	67	115	71	50	17	12	5	0
131	40718	Traunkirchen                  	1330	938	28	910	211	238	148	47	155	41	53	5	4	8	0
132	40719	Scharnstein                   	3710	2632	76	2556	748	571	591	109	253	143	86	20	19	9	7
133	40720	Vorchdorf                     	5706	4037	105	3932	1058	885	946	148	453	241	123	26	25	21	6
134	40799	Wahlkarten Gmunden                       	0	7167	182	6985	1790	1773	881	198	1415	356	362	77	76	35	22
135	40800	Bezirk Grieskirchen                  	49884	40198	1274	38924	8273	12254	9246	1384	4156	1790	1090	286	214	156	75
136	40801	Aistersheim                   	657	465	16	449	84	151	116	19	32	20	21	1	2	2	1
137	40802	Bad Schallerbach              	2899	1969	49	1920	495	472	485	68	225	92	56	10	6	6	5
138	40803	Bruck-Waasen                  	1873	1361	49	1312	217	509	287	62	124	63	35	6	4	3	2
139	40804	Eschenau im Hausruckkreis     	898	701	26	675	82	278	188	15	51	30	13	8	6	1	3
140	40805	Gallspach                     	1868	1293	24	1269	340	241	402	33	121	57	44	9	6	15	1
141	40806	Gaspoltshofen                 	2819	1923	67	1856	399	517	554	57	188	61	33	21	13	8	5
142	40807	Geboltskirchen                	1138	860	38	822	207	257	179	30	77	45	5	7	4	10	1
143	40808	Grieskirchen                  	3551	2532	75	2457	604	571	603	109	316	101	105	17	15	12	4
144	40809	Haag am Hausruck              	1651	1166	31	1135	299	318	270	28	127	38	32	8	5	8	2
145	40810	Heiligenberg                  	537	439	16	423	26	210	110	12	33	23	5	1	2	1	0
146	40811	Hofkirchen an der Trattnach   	1222	880	27	853	155	291	221	29	72	38	22	11	9	3	2
147	40812	Kallham                       	2063	1540	59	1481	311	483	350	56	135	69	57	10	5	3	2
148	40813	Kematen am Innbach            	1028	733	18	715	141	186	234	35	55	37	14	3	7	2	1
149	40814	Meggenhofen                   	1085	827	17	810	149	330	154	20	93	31	20	6	6	1	0
150	40815	Michaelnbach                  	1027	743	35	708	103	314	139	27	54	47	15	5	2	1	1
151	40816	Natternbach                   	1938	1462	55	1407	336	432	343	45	113	70	42	13	6	5	2
152	40817	Neukirchen am Walde           	1347	1011	34	977	168	391	227	32	77	44	17	4	11	4	2
153	40818	Neumarkt im Hausruckkreis     	1115	737	14	723	216	165	203	25	53	33	17	3	8	0	0
154	40819	Peuerbach                     	1781	1254	43	1211	228	419	260	45	140	79	19	6	7	4	4
155	40820	Pötting                       	444	349	5	344	37	213	45	7	26	11	2	3	0	0	0
156	40821	Pollham                       	777	608	22	586	75	199	94	38	85	64	20	3	0	7	1
157	40822	Pram                          	1465	1016	32	984	215	256	282	40	101	40	24	12	6	6	2
158	40823	Rottenbach                    	829	649	22	627	121	177	190	28	45	34	13	7	5	6	1
159	40824	St.Agatha                     	1737	1265	46	1219	221	528	248	48	96	42	26	3	5	2	0
160	40825	St.Georgen bei Grieskirchen   	969	726	29	697	147	211	153	25	88	27	33	4	2	4	3
161	40826	St.Thomas                     	399	332	14	318	24	108	95	7	43	26	5	3	4	1	2
162	40827	Schlüßlberg                   	2353	1713	36	1677	578	333	406	66	150	71	42	13	11	6	1
163	40828	Steegen                       	902	592	25	567	103	205	127	27	65	24	11	2	2	1	0
164	40829	Taufkirchen an der Trattnach  	1627	1140	39	1101	200	364	318	38	89	48	21	12	5	3	3
165	40830	Tollet                        	731	572	19	553	128	191	98	23	79	17	12	3	1	1	0
166	40831	Waizenkirchen                 	2906	2174	50	2124	382	799	471	70	213	90	70	11	10	3	5
167	40832	Wallern an der Trattnach      	2321	1705	40	1665	478	396	419	56	164	69	56	17	6	2	2
168	40833	Weibern                       	1297	940	41	899	139	337	187	26	106	54	29	10	1	7	3
169	40834	Wendling                      	630	462	18	444	59	187	114	12	35	16	13	2	3	1	2
170	40899	Wahlkarten Grieskirchen                  	0	4059	143	3916	806	1215	674	126	685	179	141	32	29	17	12
171	40900	Bezirk Kirchdorf an der Krems        	43274	34292	824	33468	8438	9067	7612	1255	3537	1812	1008	323	192	161	63
172	40901	Edlbach                       	524	390	5	385	78	154	72	22	23	8	13	3	6	4	2
173	40902	Grünburg                      	2881	1969	52	1917	565	456	516	74	123	107	36	20	7	9	4
174	40903	Hinterstoder                  	752	504	9	495	93	164	121	16	41	42	15	0	2	0	1
175	40904	Inzersdorf im Kremstal        	1524	1151	39	1112	239	330	286	31	117	50	40	9	6	2	2
176	40905	Kirchdorf an der Krems        	3170	2059	58	2001	633	384	443	59	298	71	69	24	9	8	3
177	40906	Klaus an der Pyhrnbahn        	849	585	7	578	256	93	119	23	36	28	11	4	3	4	1
178	40907	Kremsmünster                  	4751	3203	70	3133	632	941	655	158	357	186	133	47	15	7	2
179	40908	Micheldorf in Oberösterreich  	4527	3402	85	3317	1071	559	798	107	403	196	114	28	25	10	6
180	40909	Molln                         	2772	2017	40	1977	628	407	483	98	172	92	43	18	14	18	4
181	40910	Nußbach                       	1809	1389	37	1352	261	550	239	42	140	57	44	7	6	5	1
182	40911	Oberschlierbach               	369	280	8	272	65	97	41	7	40	8	8	1	1	4	0
183	40912	Pettenbach                    	3855	2892	81	2811	619	764	683	123	277	197	80	25	29	9	5
184	40913	Ried im Traunkreis            	2111	1574	43	1531	249	549	413	42	118	82	40	28	5	5	0
185	40914	Rosenau am Hengstpaß          	543	400	4	396	149	80	98	15	21	21	1	3	1	7	0
186	40915	Roßleithen                    	1496	1074	19	1055	314	284	228	37	69	71	32	4	2	8	6
187	40916	St.Pankraz                    	265	187	3	184	50	30	76	8	9	10	0	1	0	0	0
188	40917	Schlierbach                   	2158	1527	39	1488	313	415	336	41	217	92	39	16	6	11	2
189	40918	Spital am Pyhrn               	1730	1216	17	1199	371	277	322	60	72	52	20	7	5	12	1
190	40919	Steinbach am Ziehberg         	679	506	13	493	99	168	122	13	41	27	15	1	4	2	1
191	40920	Steinbach an der Steyr        	1639	1313	34	1279	281	476	295	46	92	50	19	9	5	3	3
192	40921	Vorderstoder                  	644	431	12	419	67	159	110	14	28	27	9	3	0	2	0
193	40922	Wartberg an der Krems         	2303	1630	60	1570	285	564	358	55	125	91	54	20	13	5	0
194	40923	Windischgarsten               	1923	1250	24	1226	371	266	280	58	122	63	47	11	2	6	0
195	40999	Wahlkarten Kirchdorf an der Krems        	0	3343	65	3278	749	900	518	106	596	184	126	34	26	20	19
196	41000	Bezirk Linz-Land                     	105643	83000	1659	81341	26429	15582	17683	2611	9963	4253	3294	619	588	180	139
197	41001	Allhaming                     	893	635	10	625	140	197	126	26	65	33	27	7	3	0	1
198	41002	Ansfelden                     	10936	7497	152	7345	2820	926	1999	240	604	431	188	57	59	14	7
199	41003	Asten                         	4686	3347	74	3273	1264	363	948	118	236	199	89	28	19	4	5
200	41004	Eggendorf im Traunkreis       	645	493	4	489	124	154	104	17	35	28	19	1	4	1	2
201	41005	Enns                          	8140	5538	110	5428	1855	952	1196	163	669	289	201	56	33	6	8
202	41006	Hargelsberg                   	1062	795	18	777	188	240	159	21	78	55	28	4	2	1	1
203	41007	Hörsching                     	4519	3204	72	3132	942	580	842	104	300	192	124	14	25	5	4
204	41008	Hofkirchen im Traunkreis      	1360	987	23	964	286	268	196	11	123	42	17	6	7	3	5
205	41009	Kematen an der Krems          	1939	1391	29	1362	333	352	338	46	139	88	47	4	8	5	2
206	41010	Kirchberg-Thening             	1873	1399	26	1373	462	242	280	40	207	60	61	7	11	1	2
207	41011	Kronstorf                     	2560	1850	30	1820	592	398	421	51	167	97	61	18	8	3	4
208	41012	Leonding                      	19851	14108	268	13840	4306	2467	2809	508	2063	666	740	116	106	25	34
209	41013	St.Florian                    	4995	3598	100	3498	922	988	602	142	427	168	200	17	20	12	0
210	41014	Neuhofen an der Krems         	4489	3014	67	2947	870	695	558	75	421	150	105	21	28	16	8
211	41015	Niederneukirchen              	1614	1218	22	1196	293	416	208	28	150	62	22	5	3	5	4
212	41016	Oftering                      	1558	1184	22	1162	400	244	237	43	129	52	45	4	6	0	2
213	41017	Pasching                      	5228	3773	68	3705	1280	549	904	125	458	166	162	33	22	2	4
214	41018	Piberbach                     	1458	1079	22	1057	308	252	227	46	118	65	24	2	11	4	0
215	41019	Pucking                       	3084	2269	50	2219	633	437	590	79	206	170	70	21	6	5	2
216	41020	St.Marien                     	3700	2774	63	2711	796	758	474	80	301	143	107	16	17	15	4
217	41021	Traun                         	16475	11000	202	10798	4229	1382	2708	334	963	572	374	99	90	27	20
218	41022	Wilhering                     	4578	3372	77	3295	863	812	556	110	574	129	187	21	37	4	2
219	41099	Wahlkarten Linz-Land                     	0	8475	150	8325	2523	1910	1201	204	1530	396	396	62	63	22	18
220	41100	Bezirk Perg                          	51994	43195	1161	42034	12862	12380	7775	1167	4137	1879	1068	272	228	201	65
221	41101	Allerheiligen im Mühlkreis    	955	786	28	758	221	231	144	34	58	40	16	6	4	3	1
222	41102	Arbing                        	1103	858	18	840	226	269	151	33	92	32	21	7	7	1	1
223	41103	Baumgartenberg                	1290	954	22	932	164	323	265	33	82	42	10	5	5	2	1
224	41104	Dimbach                       	829	649	32	617	168	274	99	11	29	16	13	3	3	1	0
225	41105	Grein                         	2408	1681	56	1625	533	452	320	44	152	68	35	8	3	7	3
226	41106	Katsdorf                      	2294	1783	48	1735	519	465	282	59	227	91	69	6	9	4	4
227	41107	Klam                          	697	484	20	464	89	178	106	12	32	18	17	2	4	5	1
228	41108	Bad Kreuzen                   	1771	1334	38	1296	160	664	257	31	71	69	24	3	9	4	4
229	41109	Langenstein                   	1960	1511	44	1467	658	237	260	31	119	123	24	4	7	1	3
230	41110	Luftenberg an der Donau       	3202	2355	42	2313	917	370	484	75	242	108	66	21	19	7	4
231	41111	Mauthausen                    	3694	2723	62	2661	1134	468	500	55	248	122	91	17	20	4	2
232	41112	Mitterkirchen im Machland     	1375	1006	31	975	273	369	156	33	76	44	14	4	1	3	2
233	41113	Münzbach                      	1298	1026	52	974	153	438	228	28	49	35	24	7	5	7	0
234	41114	Naarn im Machlande            	2796	2185	53	2132	624	706	419	60	143	92	58	17	5	5	3
235	41115	Pabneukirchen                 	1377	993	32	961	194	412	187	33	70	32	24	3	2	4	0
236	41116	Perg                          	6028	4311	107	4204	1208	1201	843	127	454	153	138	31	17	26	6
237	41117	Rechberg                      	733	563	19	544	80	305	53	17	40	29	8	4	0	7	1
238	41118	Ried in der Riedmark          	3307	2505	63	2442	846	669	403	64	260	110	61	14	9	2	4
239	41119	St.Georgen am Walde           	1684	1295	46	1249	425	416	231	29	55	39	25	10	7	11	1
240	41120	St.Georgen an der Gusen       	3060	2329	59	2270	884	447	391	63	279	105	63	17	14	2	5
241	41121	St.Nikola an der Donau        	572	450	12	438	98	193	67	10	34	13	12	2	4	3	2
242	41122	St.Thomas am Blasenstein      	729	560	19	541	77	310	74	12	19	27	12	1	3	6	0
243	41123	Saxen                         	1391	1111	29	1082	270	290	328	23	79	49	28	4	5	2	4
244	41124	Schwertberg                   	4027	3007	78	2929	1145	576	511	102	328	132	62	34	24	10	5
245	41125	Waldhausen im Strudengau      	2284	1819	50	1769	522	593	348	43	152	61	22	4	9	11	4
246	41126	Windhaag bei Perg             	1130	866	26	840	143	345	138	29	75	42	24	6	8	29	1
247	41199	Wahlkarten Perg                          	0	4051	75	3976	1131	1179	530	76	672	187	107	32	25	34	3
248	41200	Bezirk Ried im Innkreis              	46264	35330	942	34388	6884	10521	8894	1432	3386	1570	1040	262	178	152	69
249	41201	Andrichsfurt                  	560	365	15	350	30	151	111	10	27	10	7	0	2	2	0
250	41202	Antiesenhofen                 	802	550	12	538	133	129	118	83	43	17	8	6	0	0	1
251	41203	Aurolzmünster                 	2322	1483	29	1454	373	276	461	73	95	107	42	11	10	1	5
252	41204	Eberschwang                   	2719	1860	57	1803	513	392	490	115	153	67	39	17	5	10	2
253	41205	Eitzing                       	589	414	19	395	84	128	92	10	40	20	14	2	1	2	2
254	41206	Geiersberg                    	428	304	9	295	52	97	69	12	39	15	3	4	3	1	0
255	41207	Geinberg                      	1106	719	25	694	121	210	225	34	43	26	14	7	2	9	3
256	41208	Gurten                        	935	632	10	622	123	230	143	27	41	30	18	6	3	1	0
257	41209	Hohenzell                     	1672	1220	45	1175	151	403	279	52	143	59	53	11	0	20	4
258	41210	Kirchdorf am Inn              	483	363	7	356	62	157	74	21	21	17	2	2	0	0	0
259	41211	Kirchheim im Innkreis         	565	443	15	428	77	178	117	4	31	14	5	0	0	2	0
260	41212	Lambrechten                   	1054	815	23	792	87	365	218	21	39	34	18	4	2	3	1
261	41213	Lohnsburg am Kobernaußerwald  	1810	1258	42	1216	182	460	326	50	87	52	36	10	3	6	4
262	41214	Mehrnbach                     	1871	1256	30	1226	204	366	405	44	98	55	29	1	16	5	3
263	41215	Mettmach                      	1990	1379	54	1325	304	376	413	48	66	66	26	8	8	10	0
264	41216	Mörschwang                    	261	198	8	190	12	90	35	9	26	11	3	1	1	1	1
265	41217	Mühlheim am Inn               	537	390	12	378	125	106	89	9	23	12	12	0	1	1	0
266	41218	Neuhofen im Innkreis          	1807	1239	19	1220	285	358	262	51	148	45	49	6	8	5	3
267	41219	Obernberg am Inn              	1148	609	7	602	142	148	179	23	59	26	19	2	2	2	0
268	41220	Ort im Innkreis               	922	668	16	652	99	176	221	35	62	41	14	3	0	1	0
269	41221	Pattigham                     	729	537	14	523	70	193	145	24	39	21	18	6	4	3	0
270	41222	Peterskirchen                 	547	410	9	401	32	200	94	15	28	14	7	2	4	5	0
271	41223	Pramet                        	819	626	8	618	122	201	180	21	46	31	15	1	1	0	0
272	41224	Reichersberg                  	1128	791	22	769	131	250	220	42	56	28	30	3	4	2	3
273	41225	Ried im Innkreis              	8460	5159	111	5048	1249	1118	1261	186	620	259	238	51	43	13	10
274	41226	St.Georgen b. Obernberg am Inn	462	338	6	332	33	168	59	11	37	14	7	3	0	0	0
275	41227	St.Marienkirchen am Hausruck  	644	496	14	482	44	194	140	11	42	18	14	8	2	8	1
276	41228	St.Martin im Innkreis         	1290	851	17	834	161	188	265	34	113	37	19	12	3	2	0
277	41229	Schildorn                     	920	587	23	564	146	200	119	11	26	38	18	2	1	2	1
278	41230	Senftenbach                   	594	428	16	412	71	137	117	12	36	20	11	3	3	0	2
279	41231	Taiskirchen im Innkreis       	1972	1416	30	1386	235	534	289	67	132	67	30	8	9	9	6
280	41232	Tumeltsham                    	1246	851	29	822	97	235	259	40	119	33	27	6	2	4	0
281	41233	Utzenaich                     	1216	871	24	847	156	290	212	33	67	51	26	9	2	1	0
282	41234	Waldzell                      	1738	1203	38	1165	325	371	295	35	69	38	16	8	4	3	1
283	41235	Weilbach                      	473	360	7	353	47	160	86	19	30	6	4	0	1	0	0
284	41236	Wippenham                     	445	323	12	311	95	91	77	13	25	6	2	1	0	1	0
