	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	SLP	WANDL
47	40425	Moosdorf	1295	823.0	13	810	309	205	187	30	11	61	6	0	1
48	40426	Munderfing	2276	1416.0	34	1382	594	278	295	80	17	113	0	0	5
49	40427	Neukirchen an der Enknach	1748	1150.0	21	1129	530	165	270	66	10	78	4	0	6
50	40428	Ostermiething	2435	1413.0	31	1382	752	152	232	70	22	141	6	0	7
51	40429	Palting	796	514.0	11	503	278	45	117	26	5	29	2	0	1
52	40430	Perwang am Grabensee	783	510.0	3	507	263	41	102	38	4	54	2	0	3
53	40431	Pfaffstätt	784	523.0	7	516	246	90	87	39	9	39	3	1	2
54	40432	Pischelsdorf am Engelbach	1276	826.0	12	814	408	83	215	55	8	40	1	1	3
55	40433	Polling im Innkreis	767	479.0	11	468	221	61	144	15	4	20	3	0	0
56	40434	Roßbach	752	487.0	10	477	210	75	130	30	2	24	6	0	0
57	40435	St.Georgen am Fillmannsbach	343	236.0	3	233	104	11	93	8	5	10	1	0	1
58	40436	St.Johann am Walde	1639	987.0	18	969	405	214	221	45	6	73	5	0	0
59	40437	St.Pantaleon	2306	1357.0	20	1337	577	267	252	93	21	109	7	2	9
60	40438	St.Peter am Hart	1811	1020.0	17	1003	421	194	179	58	17	127	5	0	2
61	40439	St.Radegund	462	327.0	3	324	217	13	28	21	4	37	2	0	2
62	40440	St.Veit im Innkreis	319	223.0	4	219	103	48	51	8	1	7	0	0	1
63	40441	Schalchen	2872	1818.0	33	1785	742	386	354	105	20	162	10	1	5
64	40442	Schwand im Innkreis	767	503.0	7	496	264	51	101	27	3	47	1	0	2
65	40443	Tarsdorf	1632	1017.0	13	1004	587	82	200	41	11	78	4	0	1
66	40444	Treubach	574	344.0	4	340	181	20	90	25	1	18	3	0	2
67	40445	Ueberackern	441	250.0	1	249	130	36	53	11	4	15	0	0	0
68	40446	Weng im Innkreis	1144	705.0	12	693	296	100	201	31	4	60	0	0	1
69	40499	Wahlkarten Braunau am Inn	0	9740.0	102	9638	3792	1707	1520	840	149	1482	74	1	73
70	40500	Eferding	25869	20908.0	445	20463	7501	4454	4030	1494	274	2533	86	7	84
71	40501	Alkoven	4639	3273.0	45	3228	986	915	606	218	69	405	11	1	17
72	40502	Aschach an der Donau	1595	1018.0	14	1004	304	253	206	64	13	148	10	1	5
73	40503	Eferding	2927	1797.0	22	1775	605	447	323	139	24	221	8	1	7
74	40504	Fraham	1871	1170.0	16	1154	414	273	216	89	17	134	5	1	5
75	40505	Haibach ob der Donau	1095	743.0	14	729	337	163	123	41	2	61	1	0	1
76	40506	Hartkirchen	3384	2426.0	38	2388	940	426	567	164	20	256	8	0	7
77	40507	Hinzenbach	1620	1096.0	21	1075	424	236	202	70	16	120	5	0	2
78	40508	Prambachkirchen	2276	1473.0	22	1451	658	210	318	98	13	144	6	1	3
79	40509	Pupping	1455	981.0	10	971	366	191	228	52	16	111	6	0	1
80	40510	St.Marienkirchen an d. Polsenz	1899	1288.0	20	1268	472	278	272	83	15	140	6	0	2
81	40511	Scharten	1772	1229.0	19	1210	375	245	292	96	19	173	4	1	5
82	40512	Stroheim	1336	921.0	19	902	495	92	186	56	7	61	1	0	4
83	40599	Wahlkarten Eferding	0	3493.0	185	3308	1125	725	491	324	43	559	15	1	25
84	40600	Freistadt	53816	44628.0	851	43777	18623	9230	6770	2646	532	5525	245	22	184
85	40601	Freistadt	6134	4074.0	69	4005	1431	945	641	251	58	626	31	3	19
86	40602	Grünbach	1572	985.0	17	968	418	185	193	58	8	92	5	2	7
87	40603	Gutau	2237	1601.0	17	1584	719	372	238	51	20	173	4	0	7
88	40604	Hagenberg im Mühlkreis	2249	1455.0	20	1435	452	320	253	108	32	255	10	0	5
89	40605	Hirschbach im Mühlkreis	958	630.0	6	624	301	101	60	62	6	83	10	0	1
90	40606	Kaltenberg	499	425.0	4	421	304	20	65	21	0	11	0	0	0
91	40607	Kefermarkt	1713	1209.0	29	1180	492	293	194	54	8	125	9	1	4
92	40608	Königswiesen	2511	1730.0	30	1700	943	238	331	64	7	109	5	0	3
93	40609	Lasberg	2328	1640.0	32	1608	776	280	223	106	29	181	7	1	5
94	40610	Leopoldschlag	832	599.0	21	578	314	76	92	31	3	57	2	0	3
95	40611	Liebenau	1335	908.0	20	888	526	152	143	27	4	30	4	0	2
96	40612	Neumarkt im Mühlkreis	2581	1781.0	43	1738	712	361	239	113	25	258	18	0	12
97	40613	Pierbach	805	596.0	20	576	297	91	132	23	2	28	0	0	3
98	40614	Pregarten	4415	3012.0	55	2957	1107	733	522	181	33	357	12	3	9
99	40615	Rainbach im Mühlkreis	2349	1553.0	43	1510	722	300	183	92	17	175	12	1	8
100	40616	Sandl	1152	834.0	21	813	325	223	124	46	8	78	7	0	2
101	40617	St.Leonhard bei Freistadt	1153	816.0	13	803	400	188	120	25	8	51	5	0	6
102	40618	St.Oswald bei Freistadt	2328	1599.0	41	1558	679	379	285	73	23	104	4	0	11
103	40619	Schönau im Mühlkreis	1567	1199.0	27	1172	649	197	193	46	5	76	4	0	2
104	40620	Tragwein	2498	1803.0	27	1776	690	469	280	105	22	199	6	1	4
105	40621	Unterweißenbach	1775	1223.0	26	1197	670	166	241	43	4	68	3	0	2
106	40622	Unterweitersdorf	1757	1242.0	30	1212	396	367	179	84	21	152	4	0	9
107	40623	Waldburg	1120	762.0	7	755	331	136	109	55	14	101	3	1	5
108	40624	Wartberg ob der Aist	3516	2316.0	32	2284	769	563	397	138	32	356	19	1	9
109	40625	Weitersfelden	826	574.0	15	559	308	94	71	30	2	47	6	0	1
110	40626	Windhaag bei Freistadt	1263	863.0	22	841	453	159	91	49	3	82	2	1	1
111	40627	Bad Zell	2343	1693.0	43	1650	780	244	256	86	11	257	6	1	9
112	40699	Wahlkarten Freistadt	0	7506.0	121	7385	2659	1578	915	624	127	1394	47	6	35
113	40700	Gmunden	78454	60820.0	1068	59752	20878	15144	9327	4524	1029	8165	367	30	288
114	40701	Altmünster	7779	4960.0	112	4848	1857	1080	721	446	80	627	18	1	18
115	40702	Bad Goisern am Hallstättersee	6157	3730.0	102	3628	1023	1284	584	224	66	380	42	2	23
116	40703	Bad Ischl	10750	6076.0	117	5959	2043	1547	904	468	116	800	42	2	37
117	40704	Ebensee am Traunsee	6260	4085.0	80	4005	1234	1310	694	169	95	458	31	0	14
118	40705	Gmunden	9732	5449.0	78	5371	1926	1111	789	519	106	861	31	5	23
119	40706	Gosau	1427	927.0	36	891	310	339	110	56	14	53	3	1	5
120	40707	Grünau im Almtal	1622	1033.0	19	1014	376	256	210	60	14	88	4	1	5
121	40708	Gschwandt	2230	1532.0	21	1511	604	291	258	115	18	209	8	3	5
122	40709	Hallstatt	579	385.0	5	380	85	171	32	17	8	62	3	0	2
123	40710	Kirchham	1724	1120.0	24	1096	567	139	221	53	12	96	4	0	4
124	40711	Laakirchen	7075	4419.0	92	4327	1314	1422	768	251	82	446	25	3	16
125	40712	Obertraun	552	378.0	10	368	107	173	18	15	5	41	7	0	2
126	40713	Ohlsdorf	4074	2623.0	49	2574	908	612	512	157	34	321	19	3	8
127	40714	Pinsdorf	3018	1867.0	39	1828	602	457	376	131	34	210	13	1	4
128	40715	Roitham	1581	986.0	12	974	379	228	218	52	9	79	4	1	4
129	40716	St.Konrad	896	616.0	7	609	288	125	110	30	6	44	2	0	4
130	40717	St.Wolfgang im Salzkammergut	2126	1276.0	18	1258	633	274	157	51	22	108	9	0	4
131	40718	Traunkirchen	1351	833.0	12	821	349	175	78	55	16	141	3	0	4
132	40719	Scharnstein	3774	2361.0	41	2320	790	575	415	174	39	303	11	0	13
133	40720	Vorchdorf	5747	3810.0	54	3756	1328	822	771	259	52	494	14	1	15
134	40799	Wahlkarten Gmunden	0	12354.0	140	12214	4155	2753	1381	1222	201	2344	74	6	78
135	40800	Grieskirchen	50592	40380.0	710	39670	16571	6712	8057	2694	453	4854	146	10	173
136	40801	Aistersheim	714	441.0	10	431	161	58	125	31	2	49	1	0	4
137	40802	Bad Schallerbach	3086	1794.0	21	1773	598	388	371	161	24	214	10	0	7
138	40804	Eschenau im Hausruckkreis	897	663.0	18	645	385	56	137	23	2	39	1	1	1
139	40805	Gallspach	1838	1079.0	10	1069	359	233	297	60	8	103	3	0	6
140	40806	Gaspoltshofen	2842	1661.0	47	1614	594	251	422	125	29	178	6	1	8
141	40807	Geboltskirchen	1160	792.0	15	777	301	177	148	39	10	94	3	0	5
142	40808	Grieskirchen	3522	2160.0	36	2124	748	464	426	149	24	291	9	0	13
143	40809	Haag am Hausruck	1662	1080.0	14	1066	407	200	200	86	11	155	2	1	4
144	40810	Heiligenberg	569	449.0	4	445	275	21	94	23	1	29	2	0	0
145	40811	Hofkirchen an der Trattnach	1241	821.0	18	803	352	113	182	53	8	87	5	0	3
146	40812	Kallham	2060	1250.0	28	1222	538	215	256	60	10	133	6	1	3
147	40813	Kematen am Innbach	1079	726.0	15	711	261	117	216	41	14	60	2	0	0
148	40814	Meggenhofen	1187	785.0	22	763	361	102	121	62	8	103	3	0	3
149	40815	Michaelnbach	1034	637.0	14	623	356	72	107	28	8	50	1	0	1
150	40816	Natternbach	1870	1272.0	32	1240	596	230	247	51	10	99	2	1	4
151	40817	Neukirchen am Walde	1334	971.0	14	957	460	144	204	59	7	76	3	0	4
152	40818	Neumarkt im Hausruckkreis	1101	649.0	11	638	222	163	153	24	8	59	5	0	4
153	40820	Pötting	455	333.0	2	331	206	33	46	26	4	16	0	0	0
154	40821	Pollham	788	478.0	10	468	221	59	73	30	8	76	1	0	0
155	40822	Pram	1351	836.0	17	819	290	127	225	52	10	106	3	1	5
156	40823	Rottenbach	846	557.0	13	544	182	89	174	30	8	51	6	0	4
157	40824	St.Agatha	1746	1223.0	27	1196	657	142	232	70	11	75	5	0	4
158	40825	St.Georgen bei Grieskirchen	1084	700.0	9	691	263	124	137	52	10	97	4	0	4
159	40826	St.Thomas	432	301.0	5	296	151	42	56	9	7	27	1	0	3
160	40827	Schlüßlberg	2377	1572.0	27	1545	534	439	281	87	18	171	10	0	5
161	40828	Steegen	916	555.0	9	546	273	65	107	26	4	65	1	0	5
162	40829	Taufkirchen an der Trattnach	1612	1044.0	16	1028	436	156	271	42	9	105	6	0	3
163	40830	Tollet	762	511.0	5	506	210	88	83	44	5	74	1	0	1
164	40831	Waizenkirchen	2918	1976.0	24	1952	938	243	396	117	26	218	7	0	7
165	40832	Wallern an der Trattnach	2392	1552.0	23	1529	540	324	326	111	23	193	5	0	7
166	40833	Weibern	1300	828.0	20	808	399	108	120	67	4	108	1	0	1
167	40834	Wendling	688	439.0	5	434	204	56	109	17	2	43	1	1	1
168	40835	Peuerbach	3729	2339.0	31	2308	1107	306	440	173	23	238	9	0	12
169	40899	Wahlkarten Grieskirchen	0	7906.0	138	7768	2986	1307	1275	666	97	1372	21	3	41
170	40900	Kirchdorf	43478	33808.0	504	33304	12971	6748	6223	2422	435	4160	148	8	189
171	40901	Edlbach	503	316.0	3	313	161	52	51	25	0	22	1	0	1
172	40902	Grünburg	2940	1746.0	32	1714	652	419	389	70	21	148	9	0	6
173	40903	Hinterstoder	720	446.0	7	439	215	52	89	34	7	39	2	0	1
174	40904	Inzersdorf im Kremstal	1507	956.0	26	930	380	158	183	59	16	125	5	0	4
175	40905	Kirchdorf an der Krems	3267	1940.0	26	1914	559	539	288	136	32	342	7	3	8
176	40906	Klaus an der Pyhrnbahn	805	531.0	14	517	161	204	87	21	4	37	2	0	1
177	40907	Kremsmünster	4708	2963.0	42	2921	1226	445	519	271	33	397	15	0	15
178	40908	Micheldorf in Oberösterreich	4513	2917.0	37	2880	941	780	514	200	44	370	12	2	17
179	40909	Molln	2773	1811.0	28	1783	635	447	359	112	21	191	10	0	8
180	40910	Nußbach	1833	1231.0	13	1218	625	192	158	98	10	125	3	0	7
181	40911	Oberschlierbach	369	265.0	2	263	135	34	29	17	2	44	0	0	2
182	40912	Pettenbach	4057	2685.0	48	2637	1004	417	661	189	23	321	13	0	9
183	40913	Ried im Traunkreis	2158	1430.0	20	1410	670	161	333	92	19	123	1	0	11
184	40914	Rosenau am Hengstpaß	491	306.0	4	302	102	103	64	14	4	9	3	0	3
185	40915	Roßleithen	1485	907.0	18	889	397	183	186	42	7	64	3	1	6
186	40916	St.Pankraz	278	176.0	3	173	50	31	67	9	2	13	1	0	0
187	40917	Schlierbach	2183	1416.0	15	1401	537	232	260	129	17	216	8	0	2
188	40918	Spital am Pyhrn	1758	1061.0	10	1051	421	235	267	49	11	63	2	1	2
189	40919	Steinbach am Ziehberg	686	451.0	7	444	206	75	79	32	6	38	5	0	3
190	40920	Steinbach an der Steyr	1603	1092.0	11	1081	535	220	181	44	17	78	1	1	4
191	40921	Vorderstoder	662	408.0	12	396	219	39	81	23	2	31	1	0	0
192	40922	Wartberg an der Krems	2304	1502.0	21	1481	682	234	260	105	12	170	8	0	10
193	40923	Windischgarsten	1875	1087.0	23	1064	423	254	193	72	18	96	4	0	4
194	40999	Wahlkarten Kirchdorf a.d.Krems	0	6165.0	82	6083	2035	1242	925	579	107	1098	32	0	65
195	41000	Linz-Land	107635	83273.0	1067	82206	25574	22406	13863	6997	1260	11290	415	29	372
196	41001	Allhaming	928	637.0	6	631	283	97	112	56	5	71	2	0	5
197	41002	Ansfelden	10867	6569.0	94	6475	1604	2130	1649	369	94	578	28	1	22
198	41003	Asten	4672	2994.0	44	2950	797	1020	648	176	38	246	13	2	10
199	41004	Eggendorf im Traunkreis	748	490.0	4	486	202	98	85	37	9	49	3	0	3
200	41005	Enns	7954	4996.0	56	4940	1521	1480	782	367	86	642	33	2	27
201	41006	Hargelsberg	1074	758.0	9	749	301	165	114	67	13	83	4	1	1
202	41007	Hörsching	4546	2996.0	46	2950	995	747	594	233	41	308	16	1	15
203	41008	Hofkirchen im Traunkreis	1433	942.0	19	923	297	212	150	108	15	132	2	1	6
204	41009	Kematen an der Krems	2086	1315.0	20	1295	511	268	258	108	20	116	7	0	7
205	41010	Kirchberg-Thening	1961	1333.0	11	1322	389	367	216	139	17	183	7	1	3
206	41011	Kronstorf	2683	1830.0	32	1798	594	534	296	130	23	195	6	2	18
207	41012	Leonding	20907	12991.0	150	12841	3713	3427	1989	1196	234	2163	65	2	52
208	41013	St.Florian	5025	3256.0	47	3209	1235	665	465	340	49	424	18	2	11
209	41014	Neuhofen an der Krems	4974	2830.0	40	2790	880	649	429	250	54	500	11	0	17
210	41015	Niederneukirchen	1675	1103.0	10	1093	455	214	199	69	14	132	7	1	2
211	41016	Oftering	1647	1144.0	12	1132	395	280	213	84	20	130	7	0	3
212	41017	Pasching	5468	3726.0	56	3670	1067	1065	626	360	60	443	20	2	27
213	41018	Piberbach	1475	934.0	14	920	352	209	158	79	18	92	8	0	4
214	41019	Pucking	3157	2067.0	40	2027	658	444	522	153	20	210	12	0	8
215	41020	St.Marien	3785	2468.0	41	2427	900	583	377	205	33	299	16	2	12
216	41021	Traun	15940	9335.0	128	9207	2469	3247	1748	509	145	1006	50	6	27
217	41022	Wilhering	4630	3126.0	33	3093	1074	715	332	350	49	556	13	0	4
218	41099	Wahlkarten Linz-Land	0	15433.0	155	15278	4882	3790	1901	1612	203	2732	67	3	88
219	41100	Perg	52899	43095.0	793	42302	16669	10586	6831	2540	505	4770	199	19	183
220	41101	Allerheiligen im Mühlkreis	1021	753.0	14	739	328	170	126	43	8	62	0	0	2
221	41102	Arbing	1158	813.0	13	800	324	176	127	67	4	101	1	0	0
222	41103	Baumgartenberg	1364	942.0	18	924	397	162	230	45	6	77	3	0	4
223	41104	Dimbach	811	542.0	16	526	255	104	94	25	5	39	2	0	2
224	41105	Grein	2296	1436.0	28	1408	564	336	260	78	27	129	6	2	6
225	41106	Katsdorf	2525	1689.0	33	1656	597	411	203	141	30	260	7	0	7
226	41107	Klam	761	462.0	7	455	187	71	128	24	6	35	1	0	3
227	41108	Bad Kreuzen	1781	1148.0	24	1124	702	91	175	56	8	79	4	0	9
228	41109	Langenstein	1951	1369.0	19	1350	404	530	217	58	12	115	7	1	6
229	41110	Luftenberg an der Donau	3320	2179.0	41	2138	676	661	374	127	39	242	5	2	12
230	41111	Mauthausen	3641	2324.0	37	2287	632	888	343	118	28	253	12	1	12
231	41112	Mitterkirchen im Machland	1350	892.0	17	875	420	196	154	33	7	58	3	0	4
232	41113	Münzbach	1309	961.0	41	920	521	98	184	38	8	66	2	0	3
233	41114	Naarn im Machlande	2799	2002.0	27	1975	894	451	327	110	22	158	7	1	5
234	41115	Pabneukirchen	1329	903.0	20	883	463	130	177	36	5	65	5	0	2
235	41116	Perg	6364	4097.0	66	4031	1467	1005	719	265	60	480	15	5	15
236	41117	Rechberg	751	549.0	9	540	355	58	55	20	3	45	2	0	2
237	41118	Ried in der Riedmark	3410	2357.0	47	2310	843	692	330	141	20	261	13	2	8
238	41119	St.Georgen am Walde	1622	1121.0	29	1092	529	260	198	42	6	52	3	0	2
239	41120	St.Georgen an der Gusen	3279	2231.0	38	2193	662	712	290	133	33	336	16	1	10
240	41121	St.Nikola an der Donau	563	375.0	8	367	206	68	44	14	5	22	5	0	3
241	41122	St.Thomas am Blasenstein	739	505.0	7	498	329	52	62	21	4	27	2	0	1
242	41123	Saxen	1381	964.0	26	938	373	196	228	51	10	75	2	0	3
243	41124	Schwertberg	3957	2668.0	46	2622	792	862	413	150	40	346	11	1	7
244	41125	Waldhausen im Strudengau	2285	1558.0	39	1519	706	362	253	49	9	134	4	0	2
245	41126	Windhaag bei Perg	1132	769.0	15	754	409	101	119	37	8	74	4	0	2
246	41199	Wahlkarten Perg	0	7486.0	108	7378	2634	1743	1001	618	92	1179	57	3	51
247	41200	Ried	46593	35635.0	513	35122	14904	5228	7882	2378	415	4011	158	4	142
248	41201	Andrichsfurt	605	392.0	6	386	218	23	86	17	1	38	1	0	2
249	41202	Antiesenhofen	813	451.0	9	442	197	79	119	22	3	21	1	0	0
250	41203	Aurolzmünster	2249	1260.0	18	1242	456	229	374	65	9	101	3	0	5
251	41204	Eberschwang	2719	1644.0	41	1603	575	343	407	95	13	153	11	1	5
252	41205	Eitzing	655	399.0	6	393	191	53	97	21	2	29	0	0	0
253	41206	Geiersberg	423	255.0	3	252	117	28	58	17	4	26	2	0	0
254	41207	Geinberg	1052	527.0	7	520	237	58	136	28	11	45	4	0	1
255	41208	Gurten	929	554.0	4	550	231	98	144	37	5	31	3	0	1
256	41209	Hohenzell	1797	1156.0	24	1132	536	113	215	101	13	150	2	0	2
257	41210	Kirchdorf am Inn	504	345.0	6	339	185	33	75	18	7	20	0	0	1
258	41211	Kirchheim im Innkreis	587	407.0	10	397	207	39	98	20	2	29	1	0	1
259	41212	Lambrechten	1077	700.0	7	693	340	64	195	36	5	48	5	0	0
260	41213	Lohnsburg am Kobernaußerwald	1818	1117.0	18	1099	539	123	275	54	10	90	3	0	5
261	41214	Mehrnbach	1856	1065.0	7	1058	463	138	296	44	18	89	7	0	3
262	41215	Mettmach	1917	1204.0	29	1175	489	172	390	49	13	52	6	0	4
263	41216	Mörschwang	271	179.0	3	176	94	12	25	11	0	34	0	0	0
264	41217	Mühlheim am Inn	520	346.0	4	342	137	76	79	12	2	29	4	1	2
265	41218	Neuhofen im Innkreis	1925	1197.0	18	1179	490	210	225	94	8	138	8	0	6
266	41219	Obernberg am Inn	1148	555.0	5	550	207	97	153	35	3	51	0	0	4
267	41220	Ort im Innkreis	921	585.0	5	580	258	71	162	28	4	53	1	0	3
268	41221	Pattigham	756	469.0	3	466	212	37	123	27	4	59	4	0	0
269	41222	Peterskirchen	577	395.0	6	389	218	26	79	27	1	29	8	0	1
270	41223	Pramet	834	522.0	2	520	237	68	137	26	3	40	3	1	5
271	41224	Reichersberg	1149	678.0	13	665	317	81	162	32	7	64	1	1	0
272	41225	Ried im Innkreis	8345	4542.0	49	4493	1454	971	982	346	83	612	24	0	21
273	41226	St.Georgen b. Obernberg am Inn	454	312.0	1	311	191	27	41	18	3	29	1	0	1
274	41227	St.Marienkirchen am Hausruck	676	510.0	5	505	261	31	115	42	2	51	2	0	1
275	41228	St.Martin im Innkreis	1345	702.0	11	691	280	114	168	38	6	84	1	0	0
276	41229	Schildorn	962	583.0	14	569	258	104	102	41	11	45	6	0	2
277	41230	Senftenbach	618	345.0	10	335	157	42	75	20	4	34	3	0	0
278	41231	Taiskirchen im Innkreis	1931	1288.0	27	1261	610	135	267	78	12	151	2	0	6
279	41232	Tumeltsham	1265	751.0	11	740	349	74	162	59	9	83	1	0	3
280	41233	Utzenaich	1199	771.0	19	752	348	106	159	47	6	79	3	0	4
281	41234	Waldzell	1766	1136.0	17	1119	511	194	275	61	7	68	1	0	2
282	41235	Weilbach	482	321.0	4	317	182	31	67	8	0	26	2	0	1
283	41236	Wippenham	448	294.0	7	287	106	66	58	18	8	30	1	0	0
284	41299	Wahlkarten Ried im Innkreis	0	7678.0	84	7594	3046	1062	1301	686	116	1300	33	0	50
285	41300	Rohrbach	45513	36691.0	613	36078	17629	5285	5947	2462	389	4058	170	6	132
286	41304	Altenfelden	1804	1225.0	28	1197	518	175	272	100	20	101	6	0	5
287	41305	Arnreit	909	693.0	12	681	376	62	113	50	7	71	1	0	1
288	41306	Atzesberg	369	292.0	5	287	152	35	65	14	1	17	0	0	3
289	41307	Auberg	427	311.0	5	306	170	26	59	18	4	26	1	0	2
290	41309	Haslach an der Mühl	2074	1382.0	30	1352	527	331	196	103	19	163	9	0	4
291	41311	Hörbich	325	260.0	5	255	148	17	55	9	0	24	0	0	2
292	41312	Hofkirchen im Mühlkreis	1206	751.0	15	736	367	98	116	45	16	91	2	0	1
293	41313	Julbach	1283	846.0	27	819	365	238	133	33	5	38	4	0	3
294	41314	Kirchberg ob der Donau	861	581.0	8	573	277	104	85	46	6	49	3	0	3
295	41315	Klaffer am Hochficht	1054	677.0	9	668	321	112	169	25	4	35	0	0	2
296	41316	Kleinzell im Mühlkreis	1312	878.0	15	863	389	159	120	57	8	125	1	1	3
297	41317	Kollerschlag	1192	839.0	12	827	457	91	201	27	11	37	1	0	2
298	41318	Lembach im Mühlkreis	1235	784.0	15	769	359	121	167	45	11	62	2	0	2
299	41319	Lichtenau im Mühlkreis	404	238.0	6	232	135	29	51	6	1	9	1	0	0
300	41320	Nebelberg	497	385.0	5	380	228	82	33	11	2	22	2	0	0
301	41321	Neufelden	931	588.0	10	578	272	84	81	35	4	100	1	0	1
302	41322	Niederkappel	789	562.0	19	543	324	45	102	35	0	30	6	0	1
303	41323	Niederwaldkirchen	1456	968.0	6	962	485	115	147	72	13	124	4	0	2
304	41324	Oberkappel	527	313.0	7	306	209	32	42	11	0	12	0	0	0
305	41325	Oepping	1311	890.0	16	874	459	104	157	55	9	82	5	0	3
306	41326	Peilstein im Mühlviertel	1268	895.0	18	877	511	130	120	43	10	59	1	0	3
307	41327	Pfarrkirchen im Mühlkreis	1161	802.0	12	790	478	68	124	38	10	69	0	0	3
308	41328	Putzleinsdorf	1253	857.0	10	847	440	71	140	69	5	108	9	0	5
309	41329	Neustift im Mühlkreis	1146	774.0	14	760	411	109	93	46	4	91	1	0	5
310	41331	St.Johann am Wimberg	815	534.0	15	519	250	59	113	35	0	57	2	0	3
311	41332	St.Martin im Mühlkreis	2970	2030.0	33	1997	924	317	331	144	21	246	6	0	8
